Variable Name,Source Document,Source Category,MAS Function,Actor,Actor Type,Valuation Type,Data Type,AIDM Domain,Notes,Data Access,Transaction_Point_ID,Transaction_Point_Name,TP_MAS_Function,TP_ERD_Source,Val_Primary
fees (SUPPLIER / TICKETING),Amadeus Flight Offers Search API (OpenAPI),Vendor API,Revenue Management,Amadeus,Vendor,Cost,Array (numeric),Shopping,Supplier and ticketing fees added to base fare,OBSERVED,TP03,Order Confirmation & Ticketing,Revenue Management,IATA ONE Order Order lifecycle; IATA EMD Resolution 725,Cost
currency,Amadeus Flight Offers Search API (OpenAPI),Vendor API,Revenue Management,Carrier,Carrier,Market,String (ISO 4217),Shopping,Currency of the flight offer price,OBSERVED,TP02,Offer Pricing & Display,Revenue Management / Distribution,IATA ONE Order Offer lifecycle; Amadeus OpenAPI,Market
currency,Amadeus Flight Offers Search API (OpenAPI),Vendor API,Revenue Management,Carrier,Carrier,Market,String (ISO 4217),Shopping,Currency of the flight offer price,OBSERVED,TP03,Order Confirmation & Ticketing,Revenue Management,IATA ONE Order Order lifecycle; IATA EMD Resolution 725,Market
currency,Amadeus Flight Offers Search API (OpenAPI),Vendor API,Revenue Management,Carrier,Carrier,Market,String (ISO 4217),Shopping,Currency of the flight offer price,OBSERVED,TP05,Interline Proration & Settlement,Distribution / GDS,IATA SIS IS-XML Handbook; IATA Interline Checklist,Market
numberOfBookableSeats,Amadeus Flight Offers Search API (OpenAPI),Vendor API,Revenue Management,Carrier,Carrier,Option,Numeric (integer),Shopping,Available seats at this price — inventory control output,OBSERVED,TP02,Offer Pricing & Display,Revenue Management / Distribution,IATA ONE Order Offer lifecycle; Amadeus OpenAPI,Option
lastTicketingDate,Amadeus Flight Offers Search API (OpenAPI),Vendor API,Revenue Management,Carrier,Carrier,Option,Date (ISO 8601),Shopping,Latest date by which ticket must be issued,OBSERVED,TP02,Offer Pricing & Display,Revenue Management / Distribution,IATA ONE Order Offer lifecycle; Amadeus OpenAPI,Option
lastTicketingDate,Amadeus Flight Offers Search API (OpenAPI),Vendor API,Revenue Management,Carrier,Carrier,Option,Date (ISO 8601),Shopping,Latest date by which ticket must be issued,OBSERVED,TP03,Order Confirmation & Ticketing,Revenue Management,IATA ONE Order Order lifecycle; IATA EMD Resolution 725,Option
fareDetailsBySegment (cabin),Amadeus Flight Offers Search API (OpenAPI),Vendor API,Revenue Management,Carrier,Carrier,Market,Categorical,Shopping,Cabin class — ECONOMY / PREMIUM_ECONOMY / BUSINESS / FIRST,OBSERVED,TP02,Offer Pricing & Display,Revenue Management / Distribution,IATA ONE Order Offer lifecycle; Amadeus OpenAPI,Market
fareDetailsBySegment (fareBasis),Amadeus Flight Offers Search API (OpenAPI),Vendor API,Revenue Management,Carrier,Carrier,Market,String,Shopping,Fare basis code for this segment,OBSERVED,TP02,Offer Pricing & Display,Revenue Management / Distribution,IATA ONE Order Offer lifecycle; Amadeus OpenAPI,Market
fareDetailsBySegment (fareBasis),Amadeus Flight Offers Search API (OpenAPI),Vendor API,Revenue Management,Carrier,Carrier,Market,String,Shopping,Fare basis code for this segment,OBSERVED,TP05,Interline Proration & Settlement,Distribution / GDS,IATA SIS IS-XML Handbook; IATA Interline Checklist,Market
fareDetailsBySegment (brandedFare),Amadeus Flight Offers Search API (OpenAPI),Vendor API,Revenue Management,Carrier,Carrier,Market,String,Shopping,Branded fare family name (e.g. FLEX / SAVER),OBSERVED,TP02,Offer Pricing & Display,Revenue Management / Distribution,IATA ONE Order Offer lifecycle; Amadeus OpenAPI,Market
fareDetailsBySegment (class),Amadeus Flight Offers Search API (OpenAPI),Vendor API,Revenue Management,Carrier,Carrier,Option,String (single char),Shopping,Booking class (RBD) for this segment,OBSERVED,TP02,Offer Pricing & Display,Revenue Management / Distribution,IATA ONE Order Offer lifecycle; Amadeus OpenAPI,Option
includedCheckedBags (quantity),Amadeus Flight Offers Search API (OpenAPI),Vendor API,Revenue Management,Carrier,Carrier,Income,Numeric,Baggage,Number of free checked bags included in fare,OBSERVED,TP02,Offer Pricing & Display,Revenue Management / Distribution,IATA ONE Order Offer lifecycle; Amadeus OpenAPI,Income
includedCheckedBags (quantity),Amadeus Flight Offers Search API (OpenAPI),Vendor API,Revenue Management,Carrier,Carrier,Income,Numeric,Baggage,Number of free checked bags included in fare,OBSERVED,TP04,Ancillary Service Charge,Revenue Management,IATA EMD Resolution 725; IATA ONE Order,Income
chargeableSeatNumber,Amadeus Flight Offers Search API (OpenAPI),Vendor API,Revenue Management,Amadeus,Vendor,Income,String,Shopping,Seat selected by passenger — triggers seat fee charge,OBSERVED,TP02,Offer Pricing & Display,Revenue Management / Distribution,IATA ONE Order Offer lifecycle; Amadeus OpenAPI,Income
chargeableSeatNumber,Amadeus Flight Offers Search API (OpenAPI),Vendor API,Revenue Management,Amadeus,Vendor,Income,String,Shopping,Seat selected by passenger — triggers seat fee charge,OBSERVED,TP04,Ancillary Service Charge,Revenue Management,IATA EMD Resolution 725; IATA ONE Order,Income
additionalServices (type/amount),Amadeus Flight Offers Search API (OpenAPI),Vendor API,Revenue Management,Amadeus,Vendor,Income,Array (object),Shopping,Ancillary services available with price — bags / seats / upgrades,OBSERVED,TP02,Offer Pricing & Display,Revenue Management / Distribution,IATA ONE Order Offer lifecycle; Amadeus OpenAPI,Income
additionalServices (type/amount),Amadeus Flight Offers Search API (OpenAPI),Vendor API,Revenue Management,Amadeus,Vendor,Income,Array (object),Shopping,Ancillary services available with price — bags / seats / upgrades,OBSERVED,TP04,Ancillary Service Charge,Revenue Management,IATA EMD Resolution 725; IATA ONE Order,Income
instantTicketingRequired,Amadeus Flight Offers Search API (OpenAPI),Vendor API,Revenue Management,Carrier,Carrier,Risk,Boolean,Shopping,Whether ticket must be issued immediately — controls payment timing,OBSERVED,TP02,Offer Pricing & Display,Revenue Management / Distribution,IATA ONE Order Offer lifecycle; Amadeus OpenAPI,Risk
instantTicketingRequired,Amadeus Flight Offers Search API (OpenAPI),Vendor API,Revenue Management,Carrier,Carrier,Risk,Boolean,Shopping,Whether ticket must be issued immediately — controls payment timing,OBSERVED,TP03,Order Confirmation & Ticketing,Revenue Management,IATA ONE Order Order lifecycle; IATA EMD Resolution 725,Risk
source (GDS),Amadeus Flight Offers Search API (OpenAPI),Vendor API,Distribution / GDS,Amadeus,Vendor,Market,Categorical,Shopping,Content source — GDS vs NDC vs carrier direct,OBSERVED,TP02,Offer Pricing & Display,Revenue Management / Distribution,IATA ONE Order Offer lifecycle; Amadeus OpenAPI,Market
source (GDS),Amadeus Flight Offers Search API (OpenAPI),Vendor API,Distribution / GDS,Amadeus,Vendor,Market,Categorical,Shopping,Content source — GDS vs NDC vs carrier direct,OBSERVED,TP05,Interline Proration & Settlement,Distribution / GDS,IATA SIS IS-XML Handbook; IATA Interline Checklist,Market
Flight Leg Status (AIDX via SITA),SITA AIDX API (developer.aero),Vendor API,Distribution / GDS,SITA,Vendor,Risk,Categorical,Flights,Current operational state pushed via SITA FLIFO system,OBSERVED,TP06,Schedule Publication & Slot Coordination,Distribution / GDS / Workforce Management,IATA SSIM Chapter 7; AIDX v22.1 CDM milestones,Risk
Flight Leg Status (AIDX via SITA),SITA AIDX API (developer.aero),Vendor API,Distribution / GDS,SITA,Vendor,Risk,Categorical,Flights,Current operational state pushed via SITA FLIFO system,OBSERVED,TP07,Delay Event & IROPs Trigger,Disruption Management,AIDX v22.1; EC 261/2004; APPR SOR/2019-150,Risk
Bag Tag Number,SITA BagJourney API,Vendor API,Distribution / GDS,SITA,Vendor,Risk,String,Baggage,Unique identifier for tracked bag — maps to passenger PNR,OBSERVED,TP08,Ground Handling Service Delivery,Workforce Management,IATA SGHA 2023; IATA SSIM,Risk
Bag Status (CHECKED_IN / LOADED / MISHANDLED),SITA BagJourney API,Vendor API,Distribution / GDS,SITA,Vendor,Risk,Categorical,Baggage,Real-time baggage status — CHECKED_IN / SCREENED / LOADED_ON_AIRCRAFT / MISHANDLED etc,OBSERVED,TP08,Ground Handling Service Delivery,Workforce Management,IATA SGHA 2023; IATA SSIM,Risk
Bag Event Code,SITA BagJourney API,Vendor API,Distribution / GDS,SITA,Vendor,Risk,Categorical,Baggage,SCREENING_FAILED / OFFLOADED / REROUTED / REFLIGHTED — triggers cost liability,OBSERVED,TP08,Ground Handling Service Delivery,Workforce Management,IATA SGHA 2023; IATA SSIM,Risk
PNR (Passenger Name Record),SITA BagJourney API,Vendor API,Distribution / GDS,Carrier,Carrier,Risk,String,Parties,Booking reference linking bag to passenger — data sovereignty variable,MNAR,TP03,Order Confirmation & Ticketing,Revenue Management,IATA ONE Order Order lifecycle; IATA EMD Resolution 725,Risk
PNR (Passenger Name Record),SITA BagJourney API,Vendor API,Distribution / GDS,Carrier,Carrier,Risk,String,Parties,Booking reference linking bag to passenger — data sovereignty variable,MNAR,TP09,Payment Authorisation & Fraud Scoring,Fraud / Payment,PCI DSS v4.0.1; ISO 20022 pacs.008 (pending M3),Risk
frequent_flyer (bag event),SITA BagJourney API,Vendor API,Revenue Management,Carrier,Carrier,Option,String,Loyalty Accounts,FFP number associated with bag — links baggage to loyalty account,MNAR,TP11,Loyalty Issuance & Redemption,Revenue Management,IATA IAWG IFRS 15 Loyalty Guide,Option
frequent_flyer (bag event),SITA BagJourney API,Vendor API,Revenue Management,Carrier,Carrier,Option,String,Loyalty Accounts,FFP number associated with bag — links baggage to loyalty account,MNAR,TP08,Ground Handling Service Delivery,Workforce Management,IATA SGHA 2023; IATA SSIM,Option
Outbound / Inbound Flight Info,SITA BagJourney API,Vendor API,Distribution / GDS,SITA,Vendor,Cost,Object,Flights,Flight details for bag routing — dest_airport / flight / airline,OBSERVED,TP06,Schedule Publication & Slot Coordination,Distribution / GDS / Workforce Management,IATA SSIM Chapter 7; AIDX v22.1 CDM milestones,Cost
Outbound / Inbound Flight Info,SITA BagJourney API,Vendor API,Distribution / GDS,SITA,Vendor,Cost,Object,Flights,Flight details for bag routing — dest_airport / flight / airline,OBSERVED,TP07,Delay Event & IROPs Trigger,Disruption Management,AIDX v22.1; EC 261/2004; APPR SOR/2019-150,Cost
Flight Number (SSIM Chapter 7),IATA SSIM (public structure),Industry Schema,Workforce Management,Carrier,Carrier,Cost,Numeric (4 digit),Flights,Flight identifier — primary input to crew scheduling and pairing,OBSERVED,TP06,Schedule Publication & Slot Coordination,Distribution / GDS / Workforce Management,IATA SSIM Chapter 7; AIDX v22.1 CDM milestones,Cost
Flight Number (SSIM Chapter 7),IATA SSIM (public structure),Industry Schema,Workforce Management,Carrier,Carrier,Cost,Numeric (4 digit),Flights,Flight identifier — primary input to crew scheduling and pairing,OBSERVED,TP07,Delay Event & IROPs Trigger,Disruption Management,AIDX v22.1; EC 261/2004; APPR SOR/2019-150,Cost
Flight Number (SSIM Chapter 7),IATA SSIM (public structure),Industry Schema,Workforce Management,Carrier,Carrier,Cost,Numeric (4 digit),Flights,Flight identifier — primary input to crew scheduling and pairing,OBSERVED,TP08,Ground Handling Service Delivery,Workforce Management,IATA SGHA 2023; IATA SSIM,Cost
Service Type Code (SSIM),IATA SSIM (public structure),Industry Schema,Workforce Management,Carrier,Carrier,Market,Categorical (1 char),Flights,J/S/U/F/V/M/Q/G/B/A — cabin service type — determines crew configuration,OBSERVED,TP06,Schedule Publication & Slot Coordination,Distribution / GDS / Workforce Management,IATA SSIM Chapter 7; AIDX v22.1 CDM milestones,Market
Service Type Code (SSIM),IATA SSIM (public structure),Industry Schema,Workforce Management,Carrier,Carrier,Market,Categorical (1 char),Flights,J/S/U/F/V/M/Q/G/B/A — cabin service type — determines crew configuration,OBSERVED,TP08,Ground Handling Service Delivery,Workforce Management,IATA SGHA 2023; IATA SSIM,Market
Aircraft Type Code (SSIM),IATA SSIM (public structure),Industry Schema,Workforce Management,Carrier,Carrier,Cost,String (IATA code),Flights,Aircraft type — determines crew certification requirements and count,OBSERVED,TP06,Schedule Publication & Slot Coordination,Distribution / GDS / Workforce Management,IATA SSIM Chapter 7; AIDX v22.1 CDM milestones,Cost
Aircraft Type Code (SSIM),IATA SSIM (public structure),Industry Schema,Workforce Management,Carrier,Carrier,Cost,String (IATA code),Flights,Aircraft type — determines crew certification requirements and count,OBSERVED,TP08,Ground Handling Service Delivery,Workforce Management,IATA SGHA 2023; IATA SSIM,Cost
Period of Operation (SSIM),IATA SSIM (public structure),Industry Schema,Workforce Management,Carrier,Carrier,Cost,Date Range,Flights,Start/end dates of schedule validity — drives crew demand planning,OBSERVED,TP06,Schedule Publication & Slot Coordination,Distribution / GDS / Workforce Management,IATA SSIM Chapter 7; AIDX v22.1 CDM milestones,Cost
Days of Operation (SSIM),IATA SSIM (public structure),Industry Schema,Workforce Management,Carrier,Carrier,Cost,Binary (7-digit),Flights,Days of week flight operates — 1234567 = daily,OBSERVED,TP06,Schedule Publication & Slot Coordination,Distribution / GDS / Workforce Management,IATA SSIM Chapter 7; AIDX v22.1 CDM milestones,Cost
Departure Time / Arrival Time (SSIM),IATA SSIM (public structure),Industry Schema,Workforce Management,Carrier,Carrier,Cost,Time (HHMM local),Flights,Schedule times — determine crew duty period and rest requirements,OBSERVED,TP06,Schedule Publication & Slot Coordination,Distribution / GDS / Workforce Management,IATA SSIM Chapter 7; AIDX v22.1 CDM milestones,Cost
Departure Time / Arrival Time (SSIM),IATA SSIM (public structure),Industry Schema,Workforce Management,Carrier,Carrier,Cost,Time (HHMM local),Flights,Schedule times — determine crew duty period and rest requirements,OBSERVED,TP07,Delay Event & IROPs Trigger,Disruption Management,AIDX v22.1; EC 261/2004; APPR SOR/2019-150,Cost
Codeshare Indicator (SSIM),IATA SSIM (public structure),Industry Schema,Workforce Management,Carrier,Carrier,Market,Categorical,Flights,Whether flight is operated or marketed — affects crew cost allocation,OBSERVED,TP06,Schedule Publication & Slot Coordination,Distribution / GDS / Workforce Management,IATA SSIM Chapter 7; AIDX v22.1 CDM milestones,Market
Codeshare Indicator (SSIM),IATA SSIM (public structure),Industry Schema,Workforce Management,Carrier,Carrier,Market,Categorical,Flights,Whether flight is operated or marketed — affects crew cost allocation,OBSERVED,TP05,Interline Proration & Settlement,Distribution / GDS,IATA SIS IS-XML Handbook; IATA Interline Checklist,Market
Release Sell Date (SSIM),IATA SSIM (public structure),Industry Schema,Revenue Management,Carrier,Carrier,Option,Date,Shopping,Date when schedule data becomes publicly available — controls distribution,OBSERVED,TP02,Offer Pricing & Display,Revenue Management / Distribution,IATA ONE Order Offer lifecycle; Amadeus OpenAPI,Option
Release Sell Date (SSIM),IATA SSIM (public structure),Industry Schema,Revenue Management,Carrier,Carrier,Option,Date,Shopping,Date when schedule data becomes publicly available — controls distribution,OBSERVED,TP06,Schedule Publication & Slot Coordination,Distribution / GDS / Workforce Management,IATA SSIM Chapter 7; AIDX v22.1 CDM milestones,Option
Minimum Connect Time (SSIM),IATA SSIM (public structure),Industry Schema,Distribution / GDS,Airport,Airport,Market/Cost,Numeric (minutes),Flights,Minimum time required between connecting flights at airport,OBSERVED,TP06,Schedule Publication & Slot Coordination,Distribution / GDS / Workforce Management,IATA SSIM Chapter 7; AIDX v22.1 CDM milestones,Market
Minimum Connect Time (SSIM),IATA SSIM (public structure),Industry Schema,Distribution / GDS,Airport,Airport,Market/Cost,Numeric (minutes),Flights,Minimum time required between connecting flights at airport,OBSERVED,TP07,Delay Event & IROPs Trigger,Disruption Management,AIDX v22.1; EC 261/2004; APPR SOR/2019-150,Market
Transaction Price (IFRS 15 via IATA IAWG),IATA IAWG IFRS 15 Loyalty Guide,Industry Schema,Revenue Management,Carrier,Carrier,Income,Numeric,Shopping,Total consideration received for ticket + points bundle — IFRS 15 allocation input,OBSERVED,TP02,Offer Pricing & Display,Revenue Management / Distribution,IATA ONE Order Offer lifecycle; Amadeus OpenAPI,Income
Transaction Price (IFRS 15 via IATA IAWG),IATA IAWG IFRS 15 Loyalty Guide,Industry Schema,Revenue Management,Carrier,Carrier,Income,Numeric,Shopping,Total consideration received for ticket + points bundle — IFRS 15 allocation input,OBSERVED,TP03,Order Confirmation & Ticketing,Revenue Management,IATA ONE Order Order lifecycle; IATA EMD Resolution 725,Income
SSP — Points Component,IATA IAWG IFRS 15 Loyalty Guide,Industry Schema,Revenue Management,Carrier,Carrier,Option,Numeric,Order Management,Standalone selling price of points issued at sale — deferred revenue basis,OBSERVED,TP11,Loyalty Issuance & Redemption,Revenue Management,IATA IAWG IFRS 15 Loyalty Guide,Option
Deferred Revenue Liability,IATA IAWG IFRS 15 Loyalty Guide,Industry Schema,Revenue Management,Carrier,Carrier,Cost/Risk,Numeric,Payments,Balance sheet liability for unredeemed points — IFRS 15 contract liability,OBSERVED,TP10,Payment Clearance & Dispute,Fraud / Payment / Distribution,PCI DSS v4.0.1; IATA SIS IS-XML,Cost
Deferred Revenue Liability,IATA IAWG IFRS 15 Loyalty Guide,Industry Schema,Revenue Management,Carrier,Carrier,Cost/Risk,Numeric,Payments,Balance sheet liability for unredeemed points — IFRS 15 contract liability,OBSERVED,TP11,Loyalty Issuance & Redemption,Revenue Management,IATA IAWG IFRS 15 Loyalty Guide,Cost
Breakage Estimate,IATA IAWG IFRS 15 Loyalty Guide,Industry Schema,Revenue Management,Carrier,Carrier,Income,Numeric (%),Order Management,Expected % of points never redeemed — recognized as revenue when certain,MNAR,TP11,Loyalty Issuance & Redemption,Revenue Management,IATA IAWG IFRS 15 Loyalty Guide,Income
Partner Airline Agency Fee,IATA IAWG IFRS 15 Loyalty Guide,Industry Schema,Distribution / GDS,Carrier,Carrier,Cost,Numeric,Settlement with Orders,Payment to partner airline for redemption flights — agent relationship,MNAR,TP05,Interline Proration & Settlement,Distribution / GDS,IATA SIS IS-XML Handbook; IATA Interline Checklist,Cost
Service Charge Rate (SGHA),IATA SGHA 2023,Industry Schema,Workforce Management,Ground Handler,Vendor,Cost,Numeric,Flights,Per-service fee for each ground handling category,MNAR,TP08,Ground Handling Service Delivery,Workforce Management,IATA SGHA 2023; IATA SSIM,Cost
Payment Terms — 30 days (SGHA),IATA SGHA 2023,Industry Schema,Workforce Management,IATA,Industry Body,Cost,Numeric (days),Settlement with Orders,Settlement due 30 days after date of invoicing — SGHA standard term,OBSERVED,TP08,Ground Handling Service Delivery,Workforce Management,IATA SGHA 2023; IATA SSIM,Cost
Payment Terms — 30 days (SGHA),IATA SGHA 2023,Industry Schema,Workforce Management,IATA,Industry Body,Cost,Numeric (days),Settlement with Orders,Settlement due 30 days after date of invoicing — SGHA standard term,OBSERVED,TP05,Interline Proration & Settlement,Distribution / GDS,IATA SIS IS-XML Handbook; IATA Interline Checklist,Cost
Liability Limit (SGHA),IATA SGHA 2023,Industry Schema,Workforce Management,Ground Handler,Vendor,Risk,Numeric,Flights,Maximum handler liability for loss or damage per occurrence,MNAR,TP08,Ground Handling Service Delivery,Workforce Management,IATA SGHA 2023; IATA SSIM,Risk
Minimum Wage Adjustment (SGHA),IATA SGHA 2023,Industry Schema,Workforce Management,Ground Handler,Vendor,Risk/Cost,Categorical,Flights,Right to request fee adjustment if minimum wage legislation changes,MNAR,TP08,Ground Handling Service Delivery,Workforce Management,IATA SGHA 2023; IATA SSIM,Risk
Audit Right (SGHA),IATA SGHA 2023,Industry Schema,Workforce Management,Carrier,Carrier,Risk,Boolean,Parties,Carrier right to audit handler and sub-contractors,OBSERVED,TP08,Ground Handling Service Delivery,Workforce Management,IATA SGHA 2023; IATA SSIM,Risk
Section 2 Passenger Services Fee (SGHA),IATA SGHA 2023,Industry Schema,Workforce Management,Ground Handler,Vendor,Cost/Income,Numeric,Parties,Check-in / boarding / arrivals handling charge — variable by airline,MNAR,TP08,Ground Handling Service Delivery,Workforce Management,IATA SGHA 2023; IATA SSIM,Cost
Section 2 Passenger Services Fee (SGHA),IATA SGHA 2023,Industry Schema,Workforce Management,Ground Handler,Vendor,Cost/Income,Numeric,Parties,Check-in / boarding / arrivals handling charge — variable by airline,MNAR,TP12,Airport Charge Assessment,Revenue Management,GTAA Fees 2025; PANYNJ 2024; Heathrow CoU 2025/26,Cost
Baggage Handling Rate (SGHA),IATA SGHA 2023,Industry Schema,Workforce Management,Ground Handler,Vendor,Cost,Numeric,Baggage,Per-bag or per-flight baggage handling fee,MNAR,TP08,Ground Handling Service Delivery,Workforce Management,IATA SGHA 2023; IATA SSIM,Cost
EMD Number,IATA EMD Resolution 725,Industry Schema,Revenue Management,IATA,Industry Body,Income,String (numeric),Order Management,Unique document identifier — like e-ticket number for ancillary services,OBSERVED,TP04,Ancillary Service Charge,Revenue Management,IATA EMD Resolution 725; IATA ONE Order,Income
Service Code (EMD),IATA EMD Resolution 725,Industry Schema,Revenue Management,IATA,Industry Body,Income/Market,String (RFIC/RFISC),Order Management,IATA code classifying the ancillary service type,OBSERVED,TP04,Ancillary Service Charge,Revenue Management,IATA EMD Resolution 725; IATA ONE Order,Income
Ancillary Charge Amount,IATA EMD Resolution 725,Industry Schema,Revenue Management,Carrier,Carrier,Income,Numeric,Order Management,Fee charged for ancillary service,OBSERVED,TP04,Ancillary Service Charge,Revenue Management,IATA EMD Resolution 725; IATA ONE Order,Income
EMD-A (Associated),IATA EMD Resolution 725,Industry Schema,Revenue Management,Carrier,Carrier,Income,String/Reference,Order Management,EMD linked to specific flight PNR / Order,OBSERVED,TP04,Ancillary Service Charge,Revenue Management,IATA EMD Resolution 725; IATA ONE Order,Income
EMD-S (Standalone),IATA EMD Resolution 725,Industry Schema,Revenue Management,Carrier,Carrier,Income,String/Reference,Order Management,EMD issued independently of specific flight segment,OBSERVED,TP04,Ancillary Service Charge,Revenue Management,IATA EMD Resolution 725; IATA ONE Order,Income
Change Fee (EMD),IATA EMD Resolution 725,Industry Schema,Revenue Management,Carrier,Carrier,Income/Risk,Numeric,Order Management,Penalty for modifying booking — collected via EMD,OBSERVED,TP04,Ancillary Service Charge,Revenue Management,IATA EMD Resolution 725; IATA ONE Order,Income
Change Fee (EMD),IATA EMD Resolution 725,Industry Schema,Revenue Management,Carrier,Carrier,Income/Risk,Numeric,Order Management,Penalty for modifying booking — collected via EMD,OBSERVED,TP10,Payment Clearance & Dispute,Fraud / Payment / Distribution,PCI DSS v4.0.1; IATA SIS IS-XML,Income
Upgrade Fee (EMD),IATA EMD Resolution 725,Industry Schema,Revenue Management,Carrier,Carrier,Income/Option,Numeric,Shopping,Charge for cabin class upgrade — optional service,OBSERVED,TP04,Ancillary Service Charge,Revenue Management,IATA EMD Resolution 725; IATA ONE Order,Income
Refund Amount (EMD),IATA EMD Resolution 725,Industry Schema,Revenue Management,Carrier,Carrier,Cost/Risk,Numeric,Payments,Value returned to passenger on cancellation of ancillary service,OBSERVED,TP04,Ancillary Service Charge,Revenue Management,IATA EMD Resolution 725; IATA ONE Order,Cost
Refund Amount (EMD),IATA EMD Resolution 725,Industry Schema,Revenue Management,Carrier,Carrier,Cost/Risk,Numeric,Payments,Value returned to passenger on cancellation of ancillary service,OBSERVED,TP10,Payment Clearance & Dispute,Fraud / Payment / Distribution,PCI DSS v4.0.1; IATA SIS IS-XML,Cost
Coupon Status (EMD),IATA EMD Resolution 725,Industry Schema,Revenue Management,Carrier,Carrier,Income,Categorical,Order Management,open / used / refunded / void — lifecycle state of EMD coupon,OBSERVED,TP04,Ancillary Service Charge,Revenue Management,IATA EMD Resolution 725; IATA ONE Order,Income
Coupon Status (EMD),IATA EMD Resolution 725,Industry Schema,Revenue Management,Carrier,Carrier,Income,Categorical,Order Management,open / used / refunded / void — lifecycle state of EMD coupon,OBSERVED,TP10,Payment Clearance & Dispute,Fraud / Payment / Distribution,PCI DSS v4.0.1; IATA SIS IS-XML,Income
